Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,education,LS Chi Square,1,1,0
Adult Census Income,education,LS Squared Gini,0,0,0
Adult Census Income,education,Twoing,2,2,0
Adult Census Income,marital.status,LS Chi Square,0,0,0
Adult Census Income,marital.status,LS Squared Gini,0,0,0
Adult Census Income,marital.status,Twoing,0,0,0
Adult Census Income,native.country,LS Chi Square,0,0,0
Adult Census Income,native.country,LS Squared Gini,0,0,0
Adult Census Income,native.country,Twoing,0,0,0
Adult Census Income,occupation,LS Chi Square,0,0,0
Adult Census Income,occupation,LS Squared Gini,0,0,0
Adult Census Income,occupation,Twoing,0,0,0
Adult Census Income,race,LS Chi Square,0,0,0
Adult Census Income,race,LS Squared Gini,0,0,0
Adult Census Income,race,Twoing,0,0,0
Adult Census Income,relationship,LS Chi Square,0,0,0
Adult Census Income,relationship,LS Squared Gini,0,0,0
Adult Census Income,relationship,Twoing,0,0,0
Adult Census Income,sex,LS Chi Square,0,0,0
Adult Census Income,sex,LS Squared Gini,0,0,0
Adult Census Income,sex,Twoing,0,0,0
Adult Census Income,workclass,LS Chi Square,1,1,0
Adult Census Income,workclass,LS Squared Gini,0,0,0
Adult Census Income,workclass,Twoing,1,1,1
Cover Type,soil_type_1,LS Chi Square,0,0,0
Cover Type,soil_type_1,LS Squared Gini,0,0,0
Cover Type,soil_type_1,Twoing,0,0,0
Cover Type,soil_type_10,LS Chi Square,0,0,0
Cover Type,soil_type_10,LS Squared Gini,0,0,0
Cover Type,soil_type_10,Twoing,0,0,0
Cover Type,soil_type_11,LS Chi Square,0,0,0
Cover Type,soil_type_11,LS Squared Gini,0,0,0
Cover Type,soil_type_11,Twoing,0,0,0
Cover Type,soil_type_12,LS Chi Square,0,0,0
Cover Type,soil_type_12,LS Squared Gini,0,0,0
Cover Type,soil_type_12,Twoing,0,0,0
Cover Type,soil_type_13,LS Chi Square,0,0,0
Cover Type,soil_type_13,LS Squared Gini,0,0,0
Cover Type,soil_type_13,Twoing,0,0,0
Cover Type,soil_type_14,LS Chi Square,0,0,0
Cover Type,soil_type_14,LS Squared Gini,0,0,0
Cover Type,soil_type_14,Twoing,0,0,0
Cover Type,soil_type_16,LS Chi Square,0,0,0
Cover Type,soil_type_16,LS Squared Gini,0,0,0
Cover Type,soil_type_16,Twoing,0,0,0
Cover Type,soil_type_17,LS Chi Square,0,0,0
Cover Type,soil_type_17,LS Squared Gini,0,0,0
Cover Type,soil_type_17,Twoing,0,0,0
Cover Type,soil_type_18,LS Chi Square,0,0,0
Cover Type,soil_type_18,LS Squared Gini,0,0,0
Cover Type,soil_type_18,Twoing,0,0,0
Cover Type,soil_type_19,LS Chi Square,0,0,0
Cover Type,soil_type_19,LS Squared Gini,0,0,0
Cover Type,soil_type_19,Twoing,0,0,0
Cover Type,soil_type_2,LS Chi Square,0,0,0
Cover Type,soil_type_2,LS Squared Gini,0,0,0
Cover Type,soil_type_2,Twoing,0,0,0
Cover Type,soil_type_20,LS Chi Square,0,0,0
Cover Type,soil_type_20,LS Squared Gini,0,0,0
Cover Type,soil_type_20,Twoing,0,0,0
Cover Type,soil_type_21,LS Chi Square,0,0,0
Cover Type,soil_type_21,LS Squared Gini,0,0,0
Cover Type,soil_type_21,Twoing,0,0,0
Cover Type,soil_type_22,LS Chi Square,0,0,0
Cover Type,soil_type_22,LS Squared Gini,0,0,0
Cover Type,soil_type_22,Twoing,0,0,0
Cover Type,soil_type_23,LS Chi Square,0,0,0
Cover Type,soil_type_23,LS Squared Gini,0,0,0
Cover Type,soil_type_23,Twoing,0,0,0
Cover Type,soil_type_24,LS Chi Square,0,0,0
Cover Type,soil_type_24,LS Squared Gini,0,0,0
Cover Type,soil_type_24,Twoing,0,0,0
Cover Type,soil_type_25,LS Chi Square,0,0,0
Cover Type,soil_type_25,LS Squared Gini,0,0,0
Cover Type,soil_type_25,Twoing,0,0,0
Cover Type,soil_type_26,LS Chi Square,0,0,0
Cover Type,soil_type_26,LS Squared Gini,0,0,0
Cover Type,soil_type_26,Twoing,0,0,0
Cover Type,soil_type_27,LS Chi Square,0,0,0
Cover Type,soil_type_27,LS Squared Gini,0,0,0
Cover Type,soil_type_27,Twoing,0,0,0
Cover Type,soil_type_28,LS Chi Square,0,0,0
Cover Type,soil_type_28,LS Squared Gini,0,0,0
Cover Type,soil_type_28,Twoing,0,0,0
Cover Type,soil_type_29,LS Chi Square,0,0,0
Cover Type,soil_type_29,LS Squared Gini,0,0,0
Cover Type,soil_type_29,Twoing,0,0,0
Cover Type,soil_type_3,LS Chi Square,0,0,0
Cover Type,soil_type_3,LS Squared Gini,0,0,0
Cover Type,soil_type_3,Twoing,0,0,0
Cover Type,soil_type_30,LS Chi Square,0,0,0
Cover Type,soil_type_30,LS Squared Gini,0,0,0
Cover Type,soil_type_30,Twoing,0,0,0
Cover Type,soil_type_31,LS Chi Square,0,0,0
Cover Type,soil_type_31,LS Squared Gini,0,0,0
Cover Type,soil_type_31,Twoing,0,0,0
Cover Type,soil_type_32,LS Chi Square,0,0,0
Cover Type,soil_type_32,LS Squared Gini,0,0,0
Cover Type,soil_type_32,Twoing,0,0,0
Cover Type,soil_type_33,LS Chi Square,0,0,0
Cover Type,soil_type_33,LS Squared Gini,0,0,0
Cover Type,soil_type_33,Twoing,0,0,0
Cover Type,soil_type_34,LS Chi Square,0,0,0
Cover Type,soil_type_34,LS Squared Gini,0,0,0
Cover Type,soil_type_34,Twoing,0,0,0
Cover Type,soil_type_35,LS Chi Square,0,0,0
Cover Type,soil_type_35,LS Squared Gini,0,0,0
Cover Type,soil_type_35,Twoing,0,0,0
Cover Type,soil_type_36,LS Chi Square,0,0,0
Cover Type,soil_type_36,LS Squared Gini,0,0,0
Cover Type,soil_type_36,Twoing,0,0,0
Cover Type,soil_type_37,LS Chi Square,0,0,0
Cover Type,soil_type_37,LS Squared Gini,0,0,0
Cover Type,soil_type_37,Twoing,0,0,0
Cover Type,soil_type_38,LS Chi Square,0,0,0
Cover Type,soil_type_38,LS Squared Gini,0,0,0
Cover Type,soil_type_38,Twoing,0,0,0
Cover Type,soil_type_39,LS Chi Square,0,0,0
Cover Type,soil_type_39,LS Squared Gini,0,0,0
Cover Type,soil_type_39,Twoing,0,0,0
