Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Adult Census Income,education,GW Chi Square,0,0,0
Adult Census Income,education,GW Squared Gini,0,0,0
Adult Census Income,education,LS Chi Square,0,0,0
Adult Census Income,education,LS Squared Gini,0,0,0
Adult Census Income,education,Twoing,0,0,0
Adult Census Income,marital.status,GW Chi Square,0,0,0
Adult Census Income,marital.status,GW Squared Gini,0,0,0
Adult Census Income,marital.status,LS Chi Square,0,0,0
Adult Census Income,marital.status,LS Squared Gini,0,0,0
Adult Census Income,marital.status,Twoing,0,0,0
Adult Census Income,native.country,GW Chi Square,0,0,0
Adult Census Income,native.country,GW Squared Gini,0,0,0
Adult Census Income,native.country,LS Chi Square,0,0,0
Adult Census Income,native.country,LS Squared Gini,0,0,0
Adult Census Income,native.country,Twoing,0,0,0
Adult Census Income,occupation,GW Chi Square,0,0,0
Adult Census Income,occupation,GW Squared Gini,0,0,0
Adult Census Income,occupation,LS Chi Square,0,0,0
Adult Census Income,occupation,LS Squared Gini,0,0,0
Adult Census Income,occupation,Twoing,0,0,0
Adult Census Income,race,GW Chi Square,0,0,0
Adult Census Income,race,GW Squared Gini,0,0,0
Adult Census Income,race,LS Chi Square,0,0,0
Adult Census Income,race,LS Squared Gini,0,0,0
Adult Census Income,race,Twoing,0,0,0
Adult Census Income,relationship,GW Chi Square,0,0,0
Adult Census Income,relationship,GW Squared Gini,0,0,0
Adult Census Income,relationship,LS Chi Square,0,0,0
Adult Census Income,relationship,LS Squared Gini,0,0,0
Adult Census Income,relationship,Twoing,0,0,0
Adult Census Income,sex,GW Chi Square,0,0,0
Adult Census Income,sex,GW Squared Gini,0,0,0
Adult Census Income,sex,LS Chi Square,0,0,0
Adult Census Income,sex,LS Squared Gini,0,0,0
Adult Census Income,sex,Twoing,0,0,0
Adult Census Income,workclass,GW Chi Square,1,1,0
Adult Census Income,workclass,GW Squared Gini,1,1,0
Adult Census Income,workclass,LS Chi Square,1,1,0
Adult Census Income,workclass,LS Squared Gini,1,1,0
Adult Census Income,workclass,Twoing,0,0,4
Cars with Aggreg,PRICE,GW Chi Square,0,0,0
Cars with Aggreg,PRICE,GW Squared Gini,0,0,0
Cars with Aggreg,PRICE,LS Chi Square,0,0,0
Cars with Aggreg,PRICE,LS Squared Gini,0,0,0
Cars with Aggreg,PRICE,Twoing,0,0,0
Cars with Aggreg,buying,GW Chi Square,0,0,0
Cars with Aggreg,buying,GW Squared Gini,0,0,0
Cars with Aggreg,buying,LS Chi Square,0,0,0
Cars with Aggreg,buying,LS Squared Gini,0,0,0
Cars with Aggreg,buying,Twoing,0,0,0
Cars with Aggreg,lug_boot,GW Chi Square,0,0,0
Cars with Aggreg,lug_boot,GW Squared Gini,0,0,0
Cars with Aggreg,lug_boot,LS Chi Square,0,0,0
Cars with Aggreg,lug_boot,LS Squared Gini,0,0,0
Cars with Aggreg,lug_boot,Twoing,0,0,0
Cars with Aggreg,maint,GW Chi Square,0,0,0
Cars with Aggreg,maint,GW Squared Gini,0,0,0
Cars with Aggreg,maint,LS Chi Square,0,0,0
Cars with Aggreg,maint,LS Squared Gini,0,0,0
Cars with Aggreg,maint,Twoing,0,0,0
Cars with Aggreg,safety,GW Chi Square,0,0,0
Cars with Aggreg,safety,GW Squared Gini,0,0,0
Cars with Aggreg,safety,LS Chi Square,0,0,0
Cars with Aggreg,safety,LS Squared Gini,0,0,0
Cars with Aggreg,safety,Twoing,0,0,0
Contraceptive with Aggreg,aggreg_education,GW Chi Square,0,0,0
Contraceptive with Aggreg,aggreg_education,GW Squared Gini,2,2,2
Contraceptive with Aggreg,aggreg_education,LS Chi Square,0,0,0
Contraceptive with Aggreg,aggreg_education,LS Squared Gini,1,1,2
Contraceptive with Aggreg,aggreg_education,Twoing,1,1,2
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Chi Square,3,3,0
Contraceptive with Aggreg,aggreg_working_occupation_sol,GW Squared Gini,3,2,2
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Chi Square,2,2,0
Contraceptive with Aggreg,aggreg_working_occupation_sol,LS Squared Gini,0,0,2
Contraceptive with Aggreg,aggreg_working_occupation_sol,Twoing,0,0,2
Contraceptive with Aggreg,husbands_education,GW Chi Square,0,0,0
Contraceptive with Aggreg,husbands_education,GW Squared Gini,0,0,0
Contraceptive with Aggreg,husbands_education,LS Chi Square,0,0,0
Contraceptive with Aggreg,husbands_education,LS Squared Gini,0,0,0
Contraceptive with Aggreg,husbands_education,Twoing,0,0,0
Contraceptive with Aggreg,husbands_occupation,GW Chi Square,1,1,2
Contraceptive with Aggreg,husbands_occupation,GW Squared Gini,1,1,1
Contraceptive with Aggreg,husbands_occupation,LS Chi Square,1,1,2
Contraceptive with Aggreg,husbands_occupation,LS Squared Gini,0,0,0
