Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-10 13:09:27.667345,Adult Census Income,False,workclass,False,8,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00797964167007,0.15099682699997174,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667429,Adult Census Income,False,education,False,16,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0393044072746,0.16380566799989538,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667456,Adult Census Income,False,marital.status,False,7,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0737159580358,0.1611082690000103,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667478,Adult Census Income,False,occupation,False,14,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0340126655237,0.09990212599996084,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667498,Adult Census Income,False,relationship,False,6,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0745904804763,0.09232908700005282,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667531,Adult Census Income,False,race,False,5,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00366983683281,0.12488410200000999,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667562,Adult Census Income,False,sex,False,2,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0163170717725,0.12745815899995705,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:27.667583,Adult Census Income,False,native.country,False,41,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00314976924872,0.08901081700003033,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:28.416341,Adult Census Income,False,workclass,False,8,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00787908279626,0.07962902400004168,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416417,Adult Census Income,False,education,False,16,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0378367727214,0.08783377499992184,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416444,Adult Census Income,False,marital.status,False,7,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0748422181995,0.08535540399998354,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416465,Adult Census Income,False,occupation,False,14,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0344192382642,0.06849979200001144,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416494,Adult Census Income,False,relationship,False,6,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0762575167078,0.09707713499994952,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416516,Adult Census Income,False,race,False,5,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00352490067381,0.11817907599993305,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416535,Adult Census Income,False,sex,False,2,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0187001673295,0.09296632399991722,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:28.416555,Adult Census Income,False,native.country,False,41,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0029800010501,0.08306542799994077,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017-05-10 13:09:29.330042,Adult Census Income,False,workclass,False,8,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0068142744904,0.07187945700002274,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330154,Adult Census Income,False,education,False,16,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0416521505369,0.08267198099997586,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330195,Adult Census Income,False,marital.status,False,7,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0746907578549,0.09675625800002763,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330232,Adult Census Income,False,occupation,False,14,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0359335900036,0.09902071099998011,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330267,Adult Census Income,False,relationship,False,6,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0756631948912,0.13050685299992892,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330302,Adult Census Income,False,race,False,5,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0040288825802,0.1291886249999834,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330336,Adult Census Income,False,sex,False,2,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0177036087132,0.13164772599998287,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:29.330370,Adult Census Income,False,native.country,False,41,30162,1,Twoing,1,3,3,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.003173437467,0.13080030200001147,75.11190689346464,75.11190689346464,75.11190689346464,0,0.0,1,0,2
2017-05-10 13:09:30.574271,Adult Census Income,False,workclass,False,8,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00777827737905,0.13322525900002802,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:30.574349,Adult Census Income,False,education,False,16,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0389007484308,0.13252974800002448,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:30.574375,Adult Census Income,False,marital.status,False,7,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0736263383596,0.13111106899998504,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017-05-10 13:09:30.574397,Adult Census Income,False,occupation,False,14,30162,2,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0344468035198,0.08276184500005002,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
